SAT Frequency 
[1] 1291
    SAT         SATF
0.4524   1 0.0005274262
0.4529   1 0.0005274262
0.4545   1 0.0005274262
0.4561   1 0.0005274262
0.4564   1 0.0005274262
0.4566   1 0.0005274262
0.457    1 0.0005274262
0.4579   1 0.0005274262
0.4589   1 0.0005274262
0.4597   1 0.0005274262
0.4603   1 0.0005274262
0.4605   1 0.0005274262
0.4616   1 0.0005274262
0.4624   1 0.0005274262
0.4627   1 0.0005274262
0.4628   1 0.0005274262
0.463    1 0.0005274262
0.4643   1 0.0005274262
0.4655   1 0.0005274262
0.467    1 0.0005274262
0.4675   1 0.0005274262
0.4676   1 0.0005274262
0.4677   1 0.0005274262
0.4678   1 0.0005274262
0.4681   2 0.0010548523
0.4683   1 0.0005274262
0.4685   1 0.0005274262
0.4699   1 0.0005274262
0.47     1 0.0005274262
0.4706   1 0.0005274262
0.4707   1 0.0005274262
0.4713   1 0.0005274262
0.4714   1 0.0005274262
0.473    1 0.0005274262
0.4732   1 0.0005274262
0.4737   1 0.0005274262
0.4739   1 0.0005274262
0.4745   2 0.0010548523
0.4754   1 0.0005274262
0.4761   1 0.0005274262
0.4767   1 0.0005274262
0.477    1 0.0005274262
0.4773   1 0.0005274262
0.4774   1 0.0005274262
0.4783   1 0.0005274262
0.4785   1 0.0005274262
0.4798   1 0.0005274262
0.4802   1 0.0005274262
0.4808   1 0.0005274262
0.4817   1 0.0005274262
0.4836   1 0.0005274262
0.4842   1 0.0005274262
0.4847   2 0.0010548523
0.4853   2 0.0010548523
0.486    1 0.0005274262
0.4863   1 0.0005274262
0.4864   1 0.0005274262
0.4868   1 0.0005274262
0.4877   1 0.0005274262
0.4884   1 0.0005274262
0.4885   1 0.0005274262
0.4888   1 0.0005274262
0.489    2 0.0010548523
0.4894   2 0.0010548523
0.4897   1 0.0005274262
0.4902   1 0.0005274262
0.4908   1 0.0005274262
0.4916   1 0.0005274262
0.492    1 0.0005274262
0.4922   1 0.0005274262
0.493    1 0.0005274262
0.4934   1 0.0005274262
0.494    2 0.0010548523
0.4942   1 0.0005274262
0.4944   1 0.0005274262
0.4948   1 0.0005274262
0.4949   1 0.0005274262
0.4964   1 0.0005274262
0.4979   1 0.0005274262
0.4987   1 0.0005274262
0.4989   1 0.0005274262
0.5      6 0.0031645570
0.5001   1 0.0005274262
0.5018   1 0.0005274262
0.5033   1 0.0005274262
0.5036   1 0.0005274262
0.5037   1 0.0005274262
0.5045   1 0.0005274262
0.5051   1 0.0005274262
0.5052   1 0.0005274262
0.5054   1 0.0005274262
0.5055   1 0.0005274262
0.5067   1 0.0005274262
0.507    1 0.0005274262
0.5073   1 0.0005274262
0.5075   2 0.0010548523
0.5079   1 0.0005274262
0.5087   1 0.0005274262
0.5102   2 0.0010548523
0.5103   1 0.0005274262
0.5122   2 0.0010548523
0.5125   1 0.0005274262
0.5131   2 0.0010548523
0.5135   1 0.0005274262
0.5136   1 0.0005274262
0.5137   1 0.0005274262
0.514    1 0.0005274262
0.5141   1 0.0005274262
0.5148   1 0.0005274262
0.5154   1 0.0005274262
0.5156   1 0.0005274262
0.5158   1 0.0005274262
0.5159   1 0.0005274262
0.5167   1 0.0005274262
0.5176   1 0.0005274262
0.5177   1 0.0005274262
0.52     1 0.0005274262
0.5201   2 0.0010548523
0.521    1 0.0005274262
0.5217   1 0.0005274262
0.5218   1 0.0005274262
0.522    1 0.0005274262
0.5221   1 0.0005274262
0.5229   1 0.0005274262
0.5231   2 0.0010548523
0.5234   1 0.0005274262
0.5239   1 0.0005274262
0.5248   1 0.0005274262
0.525    1 0.0005274262
0.526    2 0.0010548523
0.5263   1 0.0005274262
0.5264   1 0.0005274262
0.5267   1 0.0005274262
0.527    1 0.0005274262
0.5274   2 0.0010548523
0.5285   1 0.0005274262
0.5297   1 0.0005274262
0.53     1 0.0005274262
0.5302   1 0.0005274262
0.5307   1 0.0005274262
0.5308   1 0.0005274262
0.531    1 0.0005274262
0.5316   2 0.0010548523
0.5322   1 0.0005274262
0.5326   1 0.0005274262
0.5328   1 0.0005274262
0.5337   1 0.0005274262
