SAT Frequency 
[1] 1263
    SAT         SATF
0.4162   1 0.0005167959
0.4163   1 0.0005167959
0.4167   1 0.0005167959
0.4169   1 0.0005167959
0.4171   1 0.0005167959
0.4184   2 0.0010335917
0.4192   1 0.0005167959
0.4194   1 0.0005167959
0.4197   1 0.0005167959
0.4206   1 0.0005167959
0.4218   1 0.0005167959
0.4236   1 0.0005167959
0.4239   1 0.0005167959
0.4241   1 0.0005167959
0.4265   2 0.0010335917
0.4278   1 0.0005167959
0.4286   1 0.0005167959
0.4293   1 0.0005167959
0.4298   1 0.0005167959
0.431    1 0.0005167959
0.4316   1 0.0005167959
0.4318   2 0.0010335917
0.4322   2 0.0010335917
0.4323   1 0.0005167959
0.4328   1 0.0005167959
0.4329   1 0.0005167959
0.4335   1 0.0005167959
0.4336   1 0.0005167959
0.4341   1 0.0005167959
0.4343   1 0.0005167959
0.4345   1 0.0005167959
0.4347   1 0.0005167959
0.4348   1 0.0005167959
0.4353   2 0.0010335917
0.4355   1 0.0005167959
0.4371   1 0.0005167959
0.4374   1 0.0005167959
0.4386   1 0.0005167959
0.4397   1 0.0005167959
0.4398   1 0.0005167959
0.4399   1 0.0005167959
0.4404   1 0.0005167959
0.4412   1 0.0005167959
0.4415   1 0.0005167959
0.4431   1 0.0005167959
0.4432   1 0.0005167959
0.4434   1 0.0005167959
0.4442   1 0.0005167959
0.4444   2 0.0010335917
0.4447   2 0.0010335917
0.4449   1 0.0005167959
0.4455   2 0.0010335917
0.4456   1 0.0005167959
0.446    1 0.0005167959
0.4465   2 0.0010335917
0.4467   2 0.0010335917
0.4474   1 0.0005167959
0.448    2 0.0010335917
0.4484   1 0.0005167959
0.4485   1 0.0005167959
0.4487   1 0.0005167959
0.4488   1 0.0005167959
0.4495   1 0.0005167959
0.4505   1 0.0005167959
0.451    1 0.0005167959
0.4515   1 0.0005167959
0.4521   1 0.0005167959
0.4522   1 0.0005167959
0.454    1 0.0005167959
0.4544   2 0.0010335917
0.4545   1 0.0005167959
0.4547   2 0.0010335917
0.455    1 0.0005167959
0.4555   2 0.0010335917
0.4562   1 0.0005167959
0.4563   1 0.0005167959
0.4565   1 0.0005167959
0.4587   1 0.0005167959
0.4588   1 0.0005167959
0.4599   1 0.0005167959
0.4601   1 0.0005167959
0.4612   1 0.0005167959
0.4615   1 0.0005167959
0.4618   1 0.0005167959
0.4625   1 0.0005167959
0.4626   1 0.0005167959
0.4627   1 0.0005167959
0.463    1 0.0005167959
0.4633   1 0.0005167959
0.464    1 0.0005167959
0.4647   1 0.0005167959
0.4651   1 0.0005167959
0.4653   1 0.0005167959
0.4654   1 0.0005167959
0.4656   1 0.0005167959
0.4658   1 0.0005167959
0.4659   1 0.0005167959
0.4661   1 0.0005167959
0.4664   2 0.0010335917
0.4665   1 0.0005167959
0.4666   2 0.0010335917
0.4672   1 0.0005167959
0.4683   1 0.0005167959
0.4697   1 0.0005167959
0.4703   1 0.0005167959
0.4709   1 0.0005167959
0.4714   2 0.0010335917
0.4716   1 0.0005167959
0.4732   1 0.0005167959
0.4734   1 0.0005167959
0.4738   1 0.0005167959
0.4742   1 0.0005167959
0.4748   1 0.0005167959
0.4749   1 0.0005167959
0.4752   1 0.0005167959
0.4757   1 0.0005167959
0.4764   1 0.0005167959
0.4767   1 0.0005167959
0.4772   1 0.0005167959
0.4773   1 0.0005167959
0.4776   1 0.0005167959
0.4787   1 0.0005167959
0.4789   1 0.0005167959
0.479    2 0.0010335917
0.4801   1 0.0005167959
0.4806   1 0.0005167959
0.482    1 0.0005167959
0.4827   1 0.0005167959
0.4828   1 0.0005167959
0.4831   2 0.0010335917
0.4833   1 0.0005167959
0.4835   1 0.0005167959
0.4838   1 0.0005167959
0.4839   1 0.0005167959
0.4842   1 0.0005167959
0.4843   1 0.0005167959
0.4848   1 0.0005167959
0.4851   1 0.0005167959
0.4854   1 0.0005167959
0.4863   1 0.0005167959
0.4869   1 0.0005167959
0.4881   2 0.0010335917
0.4883   1 0.0005167959
0.4885   1 0.0005167959
0.4886   1 0.0005167959
0.4893   1 0.0005167959
0.4895   1 0.0005167959
0.4901   1 0.0005167959
0.4915   1 0.0005167959
0.4922   1 0.0005167959
0.4926   2 0.0010335917
0.4937   1 0.0005167959
0.495    2 0.0010335917
0.4954   1 0.0005167959
0.4957   1 0.0005167959
0.4994   1 0.0005167959
0.4997   1 0.0005167959
0.4999   1 0.0005167959
0.5      5 0.0025839793
0.501    1 0.0005167959
0.5012   1 0.0005167959
0.5014   1 0.0005167959
0.5029   1 0.0005167959
0.503    1 0.0005167959
0.504    1 0.0005167959
0.5052   1 0.0005167959
0.5056   1 0.0005167959
0.5061   1 0.0005167959
0.5063   2 0.0010335917
0.5075   1 0.0005167959
0.5078   1 0.0005167959
0.508    1 0.0005167959
0.5085   1 0.0005167959
0.5088   1 0.0005167959
0.509    2 0.0010335917
0.5104   1 0.0005167959
0.5106   1 0.0005167959
0.511    1 0.0005167959
0.5114   1 0.0005167959
0.5119   1 0.0005167959
0.5125   2 0.0010335917
0.5126   2 0.0010335917
0.5127   1 0.0005167959
0.5139   1 0.0005167959
0.5149   1 0.0005167959
0.5151   1 0.0005167959
0.5162   1 0.0005167959
0.5165   1 0.0005167959
0.5169   1 0.0005167959
0.5175   2 0.0010335917
0.5182   1 0.0005167959
0.5183   1 0.0005167959
0.5184   1 0.0005167959
0.5193   1 0.0005167959
0.5196   1 0.0005167959
0.52     1 0.0005167959
0.5204   2 0.0010335917
0.5213   1 0.0005167959
0.5215   1 0.0005167959
0.5217   2 0.0010335917
0.5224   1 0.0005167959
0.5227   1 0.0005167959
0.523    2 0.0010335917
0.5231   1 0.0005167959
0.524    2 0.0010335917
0.5241   1 0.0005167959
0.5242   1 0.0005167959
0.5246   1 0.0005167959
0.5248   1 0.0005167959
0.5254   1 0.0005167959
0.5262   1 0.0005167959
0.5267   1 0.0005167959
0.527    1 0.0005167959
0.5276   1 0.0005167959
0.5279   1 0.0005167959
0.5287   1 0.0005167959
0.5291   1 0.0005167959
0.5292   1 0.0005167959
0.5294   1 0.0005167959
0.5295   1 0.0005167959
0.5296   1 0.0005167959
0.5303   1 0.0005167959
0.5306   1 0.0005167959
0.5309   1 0.0005167959
0.5311   1 0.0005167959
0.5323   1 0.0005167959
0.5335   1 0.0005167959
0.5336   1 0.0005167959
0.5337   1 0.0005167959
0.5341   1 0.0005167959
0.5343   1 0.0005167959
0.5344   1 0.0005167959
0.535    1 0.0005167959
0.5352   1 0.0005167959
0.5353   1 0.0005167959
0.5354   1 0.0005167959
0.5357   2 0.0010335917
0.5359   1 0.0005167959
0.5373   1 0.0005167959
0.5379   1 0.0005167959
0.538    1 0.0005167959
0.5382   1 0.0005167959
0.5385   3 0.0015503876
0.5387   1 0.0005167959
0.5401   1 0.0005167959
0.5404   1 0.0005167959
0.5408   1 0.0005167959
0.5411   1 0.0005167959
0.5417   1 0.0005167959
0.5418   1 0.0005167959
0.5421   2 0.0010335917
0.5422   1 0.0005167959
0.5443   1 0.0005167959
0.5444   1 0.0005167959
0.5445   1 0.0005167959
0.5447   1 0.0005167959
0.5451   1 0.0005167959
0.5456   1 0.0005167959
0.5457   1 0.0005167959
0.546    1 0.0005167959
0.5461   1 0.0005167959
0.5467   1 0.0005167959
0.5478   1 0.0005167959
0.5479   2 0.0010335917
0.5483   1 0.0005167959
0.5484   1 0.0005167959
0.5487   1 0.0005167959
0.549    1 0.0005167959
0.5493   1 0.0005167959
0.5496   2 0.0010335917
0.5509   1 0.0005167959
0.5516   1 0.0005167959
0.5524   1 0.0005167959
0.5526   1 0.0005167959
0.5533   1 0.0005167959
0.5534   1 0.0005167959
0.5543   1 0.0005167959
0.5546   1 0.0005167959
0.5547   1 0.0005167959
0.555    1 0.0005167959
0.5551   1 0.0005167959
0.5553   1 0.0005167959
0.5556   2 0.0010335917
0.556    1 0.0005167959
0.5563   1 0.0005167959
0.5571   1 0.0005167959
0.5572   1 0.0005167959
0.5574   1 0.0005167959
0.5579   1 0.0005167959
0.5583   2 0.0010335917
0.559    1 0.0005167959
0.5591   2 0.0010335917
0.5594   1 0.0005167959
0.5595   1 0.0005167959
0.5603   1 0.0005167959
0.561    1 0.0005167959
0.5617   1 0.0005167959
0.5621   1 0.0005167959
0.5633   1 0.0005167959
0.5638   1 0.0005167959
0.5646   1 0.0005167959
0.565    1 0.0005167959
0.5653   2 0.0010335917
0.5657   2 0.0010335917
0.5658   1 0.0005167959
0.566    2 0.0010335917
0.5665   1 0.0005167959
0.5666   1 0.0005167959
0.5668   1 0.0005167959
0.5671   1 0.0005167959
0.5672   1 0.0005167959
0.5682   1 0.0005167959
0.5683   1 0.0005167959
0.5684   1 0.0005167959
0.57     1 0.0005167959
0.5702   1 0.0005167959
0.5704   1 0.0005167959
0.5705   2 0.0010335917
0.5709   1 0.0005167959
0.5711   1 0.0005167959
0.5714   2 0.0010335917
0.5717   1 0.0005167959
0.5718   1 0.0005167959
0.572    1 0.0005167959
0.5724   1 0.0005167959
0.5725   1 0.0005167959
0.5728   1 0.0005167959
0.5736   1 0.0005167959
0.5737   1 0.0005167959
0.5744   1 0.0005167959
0.5749   1 0.0005167959
0.575    3 0.0015503876
0.5751   1 0.0005167959
0.5753   1 0.0005167959
0.5759   2 0.0010335917
0.5762   1 0.0005167959
0.5766   1 0.0005167959
0.5767   1 0.0005167959
0.5769   2 0.0010335917
0.5776   1 0.0005167959
0.5777   1 0.0005167959
0.5778   1 0.0005167959
0.5785   1 0.0005167959
0.5792   1 0.0005167959
0.5793   2 0.0010335917
0.5794   3 0.0015503876
0.5795   1 0.0005167959
0.5796   1 0.0005167959
0.5797   2 0.0010335917
0.5798   1 0.0005167959
0.5802   2 0.0010335917
0.5806   1 0.0005167959
0.5811   1 0.0005167959
0.5815   1 0.0005167959
0.5817   1 0.0005167959
0.5823   1 0.0005167959
0.5833   1 0.0005167959
0.5838   1 0.0005167959
0.5844   1 0.0005167959
0.5847   1 0.0005167959
0.5849   1 0.0005167959
0.585    2 0.0010335917
0.5859   1 0.0005167959
0.586    1 0.0005167959
0.5862   1 0.0005167959
0.5866   1 0.0005167959
0.5868   2 0.0010335917
0.5869   1 0.0005167959
0.5872   1 0.0005167959
0.5882   1 0.0005167959
0.5889   1 0.0005167959
0.5891   1 0.0005167959
0.5895   1 0.0005167959
0.5897   1 0.0005167959
0.5901   1 0.0005167959
0.5912   2 0.0010335917
0.5918   1 0.0005167959
0.5926   1 0.0005167959
0.5927   1 0.0005167959
0.593    1 0.0005167959
0.5931   1 0.0005167959
0.5932   1 0.0005167959
0.5933   1 0.0005167959
0.5938   1 0.0005167959
0.5948   1 0.0005167959
0.5951   1 0.0005167959
0.5954   1 0.0005167959
0.5955   1 0.0005167959
0.5959   1 0.0005167959
0.5961   1 0.0005167959
0.5964   1 0.0005167959
0.5966   1 0.0005167959
0.5968   1 0.0005167959
0.5969   1 0.0005167959
0.5976   1 0.0005167959
0.598    1 0.0005167959
0.5987   1 0.0005167959
0.5988   1 0.0005167959
0.5992   1 0.0005167959
0.6      3 0.0015503876
0.6001   1 0.0005167959
0.6008   1 0.0005167959
0.6009   1 0.0005167959
0.601    1 0.0005167959
0.6012   1 0.0005167959
0.6016   1 0.0005167959
0.6017   1 0.0005167959
0.6021   1 0.0005167959
0.6047   1 0.0005167959
0.6053   1 0.0005167959
0.6054   2 0.0010335917
0.6056   1 0.0005167959
0.6059   1 0.0005167959
0.6066   1 0.0005167959
0.6074   1 0.0005167959
0.6077   1 0.0005167959
0.6081   2 0.0010335917
0.6082   1 0.0005167959
0.6083   1 0.0005167959
0.6085   1 0.0005167959
0.6086   2 0.0010335917
0.6087   1 0.0005167959
0.609    1 0.0005167959
0.6091   1 0.0005167959
0.6096   1 0.0005167959
0.6099   2 0.0010335917
0.6102   1 0.0005167959
0.6103   2 0.0010335917
0.6104   1 0.0005167959
0.6111   1 0.0005167959
0.6112   1 0.0005167959
0.6113   1 0.0005167959
0.6114   1 0.0005167959
0.6115   1 0.0005167959
0.6119   1 0.0005167959
0.612    1 0.0005167959
0.6121   2 0.0010335917
0.6123   1 0.0005167959
0.6126   1 0.0005167959
0.6129   1 0.0005167959
0.613    1 0.0005167959
0.6136   1 0.0005167959
0.6137   1 0.0005167959
0.6139   1 0.0005167959
0.614    2 0.0010335917
0.6142   1 0.0005167959
0.6144   1 0.0005167959
0.6147   2 0.0010335917
0.6154   1 0.0005167959
0.6155   1 0.0005167959
0.6156   1 0.0005167959
0.6158   1 0.0005167959
0.6159   1 0.0005167959
0.6165   1 0.0005167959
0.6166   1 0.0005167959
0.617    1 0.0005167959
0.6172   1 0.0005167959
0.6176   1 0.0005167959
0.6189   1 0.0005167959
0.619    2 0.0010335917
0.6193   1 0.0005167959
0.6198   1 0.0005167959
0.6199   3 0.0015503876
0.6204   1 0.0005167959
0.6205   1 0.0005167959
0.6211   1 0.0005167959
0.6218   1 0.0005167959
0.6222   1 0.0005167959
0.6224   1 0.0005167959
0.6233   1 0.0005167959
0.6234   1 0.0005167959
0.6236   1 0.0005167959
0.6237   1 0.0005167959
0.6238   1 0.0005167959
0.6239   1 0.0005167959
0.6244   2 0.0010335917
0.6246   1 0.0005167959
0.6249   2 0.0010335917
0.6255   1 0.0005167959
0.6265   1 0.0005167959
0.6269   1 0.0005167959
0.6271   1 0.0005167959
0.6272   1 0.0005167959
0.6278   1 0.0005167959
0.6279   1 0.0005167959
0.6281   3 0.0015503876
0.6282   2 0.0010335917
0.6283   2 0.0010335917
