"","INSTNM","CITY","STABBR","ZIP","ADM_RATE","SATMT75","ACTMT75","COMP_ORIG_YR4_RT","PCIP11","PCIP14","PCIP15","PCIP26","PCIP27","PCIP29","PCIP40","PCIP41","C150_4","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","PCT90_EARN_WNE_P6","ICLEVEL"
"6591","Regency Beauty Institute-North Olmsted","North Olmsted","OH","44070","NULL","NULL","NULL","0.606273215","0","0","0","0","0","0","0","0","NULL","19400","23000","25700","36200",3
"6592","Regency Beauty Institute-Columbus","Columbus","OH","43214","NULL","NULL","NULL","0.606273215","0","0","0","0","0","0","0","0","NULL","19400","23000","25700","36200",3
"6593","Regency Beauty Institute-Elgin","Elgin","IL","60123","NULL","NULL","NULL","0.606273215","0","0","0","0","0","0","0","0","NULL","19400","23000","25700","36200",3
"6594","The Salon Professional Academy-Appleton","Appleton","WI","54915","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"6595","Milan Institute of Cosmetology-Fairfield","Fairfield","CA","94533","NULL","NULL","NULL","0.5384615385","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","33600",3
"6596","Milan Institute of Cosmetology-Reno","Reno","NV","89502","NULL","NULL","NULL","0.5384615385","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","33600",2
"6597","ATI Career Training Center-Richardson","Richardson","TX","75081","NULL","NULL","NULL","0.4983755686","0","0","0","0","0","0","0","0","NULL","28100","33300","36000","45200",3
"6598","Milan Institute of Cosmetology-Visalia","Visalia","CA","93277","NULL","NULL","NULL","0.5384615385","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","33600",3
"6599","Ottawa University-Online","Ottawa","KS","66067","NULL","NULL","NULL","0.2649294245","0","0","0","0","0","0","0","0","NULL","39200","46400","45900","68900",1
"6600","Broadview University-Orem","Orem","UT","84057","NULL","NULL","NULL","0.258780037","0.0217","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","50000",1
"6601","Paul Mitchell the School-Esani","Roswell","GA","30076","NULL","NULL","NULL","0.5877192982","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",3
"6602","Institute of Production and Recording","Minneapolis","MN","55401","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"6603","Virginia College-Greenville","Greenville","SC","29607","0.7725","NULL","NULL","0.3355704698","0","0","0","0","0","0","0","0","NULL","26500","36900","40700","42700",1
"6604","ATI Career Training Center-Garland","Garland","TX","75041","NULL","NULL","NULL","0.4783599089","0","0","0.372","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","50900",3
"6605","Paul Mitchell the School-Birmingham","Hoover","AL","35216","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"6606","Taft University System","Denver","CO","80246","NULL","NULL","NULL","NULL","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",1
"6607","Mayfield College","Cathedral City","CA","92234","NULL","NULL","NULL","PrivacySuppressed","0","0","0.1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"6608","International Polytechnic Institute","Calexico","CA","92231","NULL","NULL","NULL","NULL","0","0","1","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"6609","Academy of Esthetics and Cosmetology","San Fernando","CA","91340-3212","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"6610","BioHealth College","San Jose","CA","95134","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0.6066","NULL","NULL","NULL","NULL","NULL",3
"6611","International Professional School of Bodywork","San Diego","CA","92123","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"6612","Borner's Barber College","Los Angeles","CA","90047","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"6613","Paul Mitchell the School-Pasadena","Pasadena","CA","91101","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"6614","San Francisco Institute of Esthetics & Cosmetology Inc","San Francisco","CA","94103","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"6615","Laurus College","San Luis Obispo","CA","93401","NULL","NULL","NULL","PrivacySuppressed","0.3448","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"6616","Healing Hands School of Holistic Health","Escondido","CA","92025","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"6617","Career Development Institute Inc","Los Angeles","CA","90035","NULL","NULL","NULL","NULL","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"6618","Auguste Escoffier School of Culinary Arts-Boulder","Boulder","CO","80305","1","NULL","NULL","NULL","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"6619","Aspen University","Denver","CO","80246","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",1
"6620","Institute of Taoist Education and Acupuncture","Louisville","CO","80027","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1
"6621","National Beauty College","Denver","CO","80221","NULL","NULL","NULL","NULL","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"6622","Denver School of Nursing","Denver","CO","80202","0.7","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",1
"6623","Cambridge Institute of Allied Health & Technology","Delray Beach","FL","33484","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0.1902","NULL","NULL","NULL","NULL","NULL",2
"6624","Cozmo Beauty School","Bonita Springs","FL","34135","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"6625","Orion College","Plantation","FL","33317","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"6626","North Florida Academy","Orange Park","FL","32065","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"6627","Professional Hands Institute","Miami","FL","33125","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"6628","Celebrity School of Beauty","Miami","FL","33144","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"6629","Paul Mitchell the School-Atlanta","Atlanta","GA","30318","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
