SAT Frequency 
[1] 1286
    SAT        SATF
0.4843   1 0.0005149331
0.4847   1 0.0005149331
0.4855   1 0.0005149331
0.4856   1 0.0005149331
0.4863   2 0.0010298661
0.4867   1 0.0005149331
0.487    1 0.0005149331
0.4871   1 0.0005149331
0.4881   1 0.0005149331
0.4892   1 0.0005149331
0.4906   1 0.0005149331
0.4908   2 0.0010298661
0.4911   1 0.0005149331
0.4912   1 0.0005149331
0.4915   2 0.0010298661
0.4918   1 0.0005149331
0.4925   1 0.0005149331
0.4938   1 0.0005149331
0.4943   1 0.0005149331
0.4946   1 0.0005149331
0.4951   2 0.0010298661
0.4954   1 0.0005149331
0.496    1 0.0005149331
0.4993   1 0.0005149331
0.4995   1 0.0005149331
0.5      5 0.0025746653
0.5001   1 0.0005149331
0.5011   1 0.0005149331
0.5016   1 0.0005149331
0.5018   1 0.0005149331
0.5019   1 0.0005149331
0.5021   2 0.0010298661
0.5026   1 0.0005149331
0.5029   1 0.0005149331
0.5036   1 0.0005149331
0.5038   1 0.0005149331
0.5056   1 0.0005149331
0.5065   1 0.0005149331
0.5068   1 0.0005149331
0.5071   1 0.0005149331
0.5086   1 0.0005149331
0.5087   2 0.0010298661
0.509    1 0.0005149331
0.5094   1 0.0005149331
0.5098   1 0.0005149331
0.5102   1 0.0005149331
0.5103   1 0.0005149331
0.5104   2 0.0010298661
0.5106   1 0.0005149331
0.5116   1 0.0005149331
0.5118   1 0.0005149331
0.5122   1 0.0005149331
0.513    1 0.0005149331
0.5131   1 0.0005149331
0.5133   1 0.0005149331
0.5134   4 0.0020597322
0.5138   1 0.0005149331
0.5142   1 0.0005149331
0.515    1 0.0005149331
0.5161   1 0.0005149331
0.5163   1 0.0005149331
0.5168   1 0.0005149331
0.5169   1 0.0005149331
0.5174   1 0.0005149331
0.5175   1 0.0005149331
0.5183   1 0.0005149331
0.5186   1 0.0005149331
0.5187   1 0.0005149331
0.519    1 0.0005149331
0.5191   1 0.0005149331
0.5196   1 0.0005149331
0.5198   1 0.0005149331
0.5201   2 0.0010298661
0.5202   1 0.0005149331
0.5206   1 0.0005149331
0.5207   1 0.0005149331
0.5213   1 0.0005149331
0.5214   1 0.0005149331
0.522    1 0.0005149331
0.5222   1 0.0005149331
0.5225   1 0.0005149331
0.5233   1 0.0005149331
0.5234   1 0.0005149331
0.5243   1 0.0005149331
0.5244   1 0.0005149331
0.5255   1 0.0005149331
0.5258   1 0.0005149331
0.5259   1 0.0005149331
0.5261   1 0.0005149331
0.5262   1 0.0005149331
0.5263   1 0.0005149331
0.5266   1 0.0005149331
0.5273   1 0.0005149331
0.5274   1 0.0005149331
0.5292   1 0.0005149331
0.5294   1 0.0005149331
0.5301   1 0.0005149331
0.5304   1 0.0005149331
0.5305   1 0.0005149331
0.5306   1 0.0005149331
0.5308   1 0.0005149331
0.5313   1 0.0005149331
0.5314   3 0.0015447992
0.5317   1 0.0005149331
0.5321   1 0.0005149331
0.5331   2 0.0010298661
0.5355   1 0.0005149331
0.5356   1 0.0005149331
0.5364   2 0.0010298661
0.5365   1 0.0005149331
0.5366   1 0.0005149331
0.5368   1 0.0005149331
0.537    1 0.0005149331
0.5373   1 0.0005149331
0.5374   1 0.0005149331
0.5375   1 0.0005149331
0.5376   1 0.0005149331
0.5377   1 0.0005149331
0.5382   1 0.0005149331
0.5383   1 0.0005149331
0.5385   1 0.0005149331
0.5388   1 0.0005149331
0.5396   3 0.0015447992
0.5398   1 0.0005149331
0.5401   1 0.0005149331
0.5404   1 0.0005149331
0.5411   1 0.0005149331
0.5412   1 0.0005149331
0.5417   1 0.0005149331
0.5429   1 0.0005149331
0.5432   1 0.0005149331
0.5433   2 0.0010298661
0.5434   2 0.0010298661
0.5436   1 0.0005149331
0.5437   1 0.0005149331
0.5438   1 0.0005149331
0.5444   2 0.0010298661
0.5452   1 0.0005149331
0.5457   1 0.0005149331
0.5462   1 0.0005149331
0.5463   1 0.0005149331
0.5471   1 0.0005149331
0.5477   1 0.0005149331
0.5482   1 0.0005149331
0.5483   1 0.0005149331
0.5486   1 0.0005149331
0.5487   1 0.0005149331
0.5491   2 0.0010298661
0.5492   1 0.0005149331
0.5509   1 0.0005149331
0.5514   1 0.0005149331
0.552    1 0.0005149331
0.5521   1 0.0005149331
0.5528   2 0.0010298661
0.5539   1 0.0005149331
0.5545   1 0.0005149331
0.5546   1 0.0005149331
0.5549   1 0.0005149331
0.5553   1 0.0005149331
0.5555   1 0.0005149331
0.5556   3 0.0015447992
0.5563   1 0.0005149331
0.5567   1 0.0005149331
0.557    1 0.0005149331
0.5574   1 0.0005149331
0.5577   2 0.0010298661
0.5579   1 0.0005149331
0.5582   1 0.0005149331
0.5594   2 0.0010298661
0.5595   2 0.0010298661
0.56     1 0.0005149331
0.5607   1 0.0005149331
0.5616   1 0.0005149331
0.5617   1 0.0005149331
0.562    1 0.0005149331
0.5621   1 0.0005149331
0.5625   1 0.0005149331
0.5626   1 0.0005149331
0.5637   1 0.0005149331
0.5638   1 0.0005149331
0.5641   1 0.0005149331
0.5643   1 0.0005149331
0.5645   1 0.0005149331
0.5646   2 0.0010298661
0.5648   1 0.0005149331
0.5649   1 0.0005149331
0.565    1 0.0005149331
0.5661   1 0.0005149331
0.5664   1 0.0005149331
0.5665   1 0.0005149331
0.5683   1 0.0005149331
0.5686   1 0.0005149331
0.5692   1 0.0005149331
0.5694   1 0.0005149331
0.5695   1 0.0005149331
0.5706   1 0.0005149331
0.571    1 0.0005149331
0.5714   1 0.0005149331
0.5732   1 0.0005149331
0.5733   1 0.0005149331
0.5734   1 0.0005149331
0.5741   1 0.0005149331
0.5743   1 0.0005149331
0.5745   1 0.0005149331
0.575    1 0.0005149331
0.5752   1 0.0005149331
0.5757   1 0.0005149331
0.5763   1 0.0005149331
0.5776   2 0.0010298661
0.5778   1 0.0005149331
0.5779   1 0.0005149331
0.5781   1 0.0005149331
0.5785   1 0.0005149331
0.5786   1 0.0005149331
0.5794   1 0.0005149331
0.5802   1 0.0005149331
0.5806   1 0.0005149331
0.5809   1 0.0005149331
0.5813   1 0.0005149331
0.5814   1 0.0005149331
0.5819   2 0.0010298661
0.582    1 0.0005149331
0.5827   1 0.0005149331
0.5828   2 0.0010298661
0.5833   1 0.0005149331
0.5836   1 0.0005149331
0.5844   1 0.0005149331
0.5846   1 0.0005149331
0.5847   1 0.0005149331
0.5849   1 0.0005149331
0.5853   1 0.0005149331
0.5854   1 0.0005149331
