"","X","INSTNM","CITY","STABBR","ZIP","ADM_RATE","SATMT75","ACTMT75","COMP_ORIG_YR4_RT","PCIP11","PCIP14","PCIP15","PCIP26","PCIP27","PCIP29","PCIP40","PCIP41","C150_4","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","PCT90_EARN_WNE_P6","ICLEVEL"
"3674",3674,"Tusculum College","Greeneville","TN","37743","0.7225","520","22","0.4353448276",NA,NA,NA,"0.0349","0.0066",NA,NA,NA,"0.3391","NULL","NULL","NULL","NULL",1
"3675",3675,"Union University","Jackson","TN","38305-3697","0.7412","670","27","0.5365497076","0.0198","0.0214",NA,"0.0427","0.0046",NA,"0.0153",NA,"0.6364","NULL","NULL","NULL","NULL",1
"3677",3677,"Vanderbilt University","Nashville","TN","37240","0.1274","790","35","0.8602484472","0.0179","0.1624",NA,"0.0657","0.0179",NA,"0.0203",NA,"0.9252","NULL","NULL","NULL","NULL",1
"3683",3683,"Abilene Christian University","Abilene","TX","79699","0.4894","600","27","0.4747039828","0.0295",NA,NA,"0.0605","0.0042",NA,"0.0056",NA,"0.5637","NULL","NULL","NULL","NULL",1
"3689",3689,"Angelo State University","San Angelo","TX","76909","0.8049","540","24","0.3376018626","0.0177",NA,NA,"0.0512","0.0149",NA,"0.027",NA,"0.2975","NULL","NULL","NULL","NULL",1
"3690",3690,"Arlington Baptist College","Arlington","TX","76012-3425","NULL","NULL","NULL","0.3636363636",NA,NA,NA,NA,NA,NA,NA,NA,"0.3333","NULL","NULL","NULL","NULL",1
"3692",3692,"The Art Institute of Houston","Houston","TX","77027-9625","NULL","NULL","NULL","0.2669322709","0.1105",NA,"0.0158",NA,NA,NA,NA,NA,"0.39","NULL","NULL","NULL","NULL",1
"3693",3693,"Austin College","Sherman","TX","75090-4400","0.5861","670","NULL","0.7476038339","0.0225",NA,NA,"0.0871","0.0253",NA,"0.0225",NA,"0.7177","NULL","NULL","NULL","NULL",1
"3695",3695,"Austin Presbyterian Theological Seminary","Austin","TX","78705-5711","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1
"3697",3697,"Baptist Health System School of Health Professions","San Antonio","TX","78229","NULL","NULL","NULL","0.8426229508",NA,NA,NA,NA,NA,NA,NA,NA,"NULL","NULL","NULL","NULL","NULL",1
"3698",3698,"Baptist Missionary Association Theological Seminary","Jacksonville","TX","75766-5407","1","NULL","NULL","PrivacySuppressed",NA,NA,NA,NA,NA,NA,NA,NA,"1","NULL","NULL","NULL","NULL",1
"3699",3699,"Texas A & M University Health Science Center","Bryan","TX","77807","NULL","NULL","NULL","0.6836158192",NA,NA,NA,NA,NA,NA,NA,NA,"NULL","NULL","NULL","NULL","NULL",1
"3700",3700,"Baylor College of Medicine","Houston","TX","77030-3498","NULL","NULL","NULL","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1
"3701",3701,"Baylor University","Waco","TX","76798","0.5747","670","28","0.6114031541","0.0173","0.0336",NA,"0.1237","0.0089",NA,"0.0151",NA,"0.7472","NULL","NULL","NULL","NULL",1
"3704",3704,"Remington College-Dallas Campus","Garland","TX","75041","0.8065","NULL","NULL","0.528071864","0.0211",NA,NA,NA,NA,NA,NA,NA,"0.6283","NULL","NULL","NULL","NULL",1
"3706",3706,"Brazosport College","Lake Jackson","TX","77566-3199","NULL","NULL","NULL","0.1055555556","0.0191",NA,"0.1454",NA,NA,NA,NA,"0.1424","0.1549","NULL","NULL","NULL","NULL",1
"3715",3715,"Concordia University-Texas","Austin","TX","78726","0.4685","570","25","0.373549884","0.0032",NA,NA,"0.0417","0.0096",NA,NA,NA,"0.3438","NULL","NULL","NULL","NULL",1
"3718",3718,"Texas A & M University-Corpus Christi","Corpus Christi","TX","78412-5503","0.9258","540","24","0.3777881041","0.0143","0.0075","0.0123","0.0888","0.0075",NA,"0.0171",NA,"0.4021","NULL","NULL","NULL","NULL",1
"3721",3721,"Dallas Baptist University","Dallas","TX","75211-9299","0.423","648","NULL","0.4844444444","0.0039",NA,NA,"0.0352","0.0065",NA,NA,NA,"0.5518","NULL","NULL","NULL","NULL",1
"3722",3722,"Dallas Christian College","Dallas","TX","75234-7299","0.5516","506","23","0.2619047619",NA,NA,NA,NA,NA,NA,NA,NA,"0.3023","NULL","NULL","NULL","NULL",1
"3724",3724,"Dallas Theological Seminary","Dallas","TX","75204","NULL","NULL","NULL","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1
"3725",3725,"University of Dallas","Irving","TX","75062-4736","0.9011","650","28","0.5945945946",NA,NA,NA,"0.1211","0.0208",NA,"0.045",NA,"0.6602","NULL","NULL","NULL","NULL",1
"3727",3727,"Career Point College","San Antonio","TX","78201","NULL","NULL","NULL","0.1785714286","0.0398",NA,NA,NA,NA,NA,NA,NA,"0.2239","NULL","NULL","NULL","NULL",1
"3728",3728,"East Texas Baptist University","Marshall","TX","75670-1498","0.7362","530","23","0.3988764045",NA,NA,NA,"0.0684","0.0158",NA,"0.0211",NA,"0.3333","NULL","NULL","NULL","NULL",1
"3729",3729,"Texas A & M University-Texarkana","Texarkana","TX","75503","0.3723","560","24","0.5261627907","0.0114","0.0029",NA,"0.0371","0.02",NA,NA,NA,"NULL","NULL","NULL","NULL","NULL",1
"3730",3730,"Texas A & M University-Commerce","Commerce","TX","75429-3011","0.6818","550","23","0.4490988797","0.019","0.0059","0.0072","0.0196","0.0151",NA,"0.0072",NA,"0.4518","NULL","NULL","NULL","NULL",1
